feature,mentions,sentiment
Aa,9,0.6805355197931122
Ab,8,0.5077456612707465
Abc,36,0.5606841558819724
Abd,7,0.17313344730064273
Aberration,17,0.8081403889535816
Ability,643,0.7195326699133838
Able,10,0.39880577111616733
Abrasion,6,0.7247517827830355
Absence,16,0.6851737318429514
Absolute,26,0.31825189174056645
Absolutely,29,0.3918199245702548
Abundance,8,0.7972751752677141
Abuse,98,0.7762076789444925
Ac,308,0.6220796588122421
Acc,9,0.7422770291709134
Acceleration,12,0.5779041059261848
Accent,40,0.7454972563205956
Accesorie,10,0.7826583356974879
Access,682,0.6880332484207933
Accessibility,16,0.7900052784707441
Accessories,7,0.5920944878016599
Accessory,539,0.8003361956873188
Accident,108,0.7018581980303645
Accord,14,0.8317862890378039
Account,301,0.4222224164647358
Accountant,7,0.8975528837701339
Accuracy,93,0.6795090742082828
Acer,115,0.6394311970996964
Acoustic,16,0.5632315505499719
Acoustics,14,0.422512377647893
Acre,15,0.9317624126803518
Acronis,12,0.6424918086268008
Acrylic,23,0.7303658826428506
Act,22,0.5625034436393022
Action,204,0.6405405722972657
Activation,33,0.4012391470534953
Active,17,0.6284066667328315
Activex,8,0.35206062372162705
Activity,197,0.5616076403558754
Actual,6,0.5087654367962386
Actually,9,0.1627022116056954
Acura,6,0.6879665217517564
Ad,47,0.5217242714530352
Adafruit,7,0.45815240116124706
Adaptation,7,0.8580400526116136
Adapter,1595,0.6483292526666374
Adaptive,16,0.7465550713932316
Adaptor,143,0.6553516144800355
Adata,71,0.632644778561166
Add,76,0.6593260104372779
Addendum,7,0.47249317125949475
Addition,459,0.7411066139160507
Address,256,0.4446992344527416
Además,12,0.6335997776089547
Adhesion,39,0.6230991759422557
Adhesive,175,0.528005285306343
Adjust,35,0.8478588944434056
Adjustability,35,0.8780490983766088
Adjuster,12,0.6895058403121462
Adjusting,8,0.6051125349767972
Adjustment,386,0.6710369336451455
Admin,42,0.5215645227674811
Administration,11,0.7023269447169944
Administrator,11,0.5281156148544555
Adobe,36,0.8135830480900444
Adopter,16,0.5232244596445526
Adult,89,0.6411262395692953
Aduro,11,0.36940434330079536
Advance,47,0.5891976307884373
Advanced,10,0.7997335237567313
Advantage,149,0.7351872119479778
Adventure,27,0.8693263650471905
Advertise,14,0.5664065761292087
Advertised,10,0.421681502321735
Advertisement,59,0.3287523732455526
Advertising,106,0.19981875965664964
Advice,142,0.4880959674030339
Advise,20,0.3380901843251195
Aero,6,0.8267728410525402
Aesthetic,56,0.7293767305556165
Affair,6,0.6471050859884903
Affect,16,0.522001105149684
Affiliate,7,0.584591925110934
Affordability,7,0.9597431788487094
Africa,27,0.7635670716133771
Aftermarket,104,0.7262572453275005
Afternoon,47,0.43071304937698285
Afterthought,7,0.6084247840335593
Age,143,0.7103795054350689
Agency,7,0.36148765260752824
Agent,42,0.271354019966869
Agfa,6,0.36578027098827687
Aggravation,31,0.10306457965634763
