aspect,negative,neutral,positive,total
sound,3136,2205,3918,9259
quality,3030,1454,4602,9086
headphones,1572,2608,2536,6716
camera,1985,2774,1953,6712
videos,1557,3027,1902,6486
these headphones,1830,1361,2947,6138
USB,970,3310,1166,5446
batteries,1604,2407,1360,5371
Bluetooth,1395,1912,1612,4919
reviews,1482,2091,1170,4743
phone,1535,1747,1157,4439
Sound quality,1481,431,2233,4145
battery,1608,1381,994,3983
speakers,1001,1616,1250,3867
these cameras,1717,1234,855,3806
part,1197,1880,686,3763
Sound,1203,558,2000,3761
Samsung,1226,1570,906,3702
cables,960,1556,1059,3575
wifi,1461,1347,624,3432
good quality,470,216,2707,3393
battery life,1074,936,1329,3339
cable,838,1595,874,3307
sound quality,1161,468,1646,3275
screen,1156,1363,734,3253
storage,708,1381,982,3071
buttons,915,1172,875,2962
features,689,686,1576,2951
charge,1264,1120,563,2947
mouse,636,1110,1147,2893
size,599,928,1325,2852
cameras,755,1367,714,2836
software,1177,1034,574,2785
earbuds,819,829,1127,2775
devices,888,1134,736,2758
Battery life,773,528,1454,2755
Apple,927,1075,739,2741
speed,704,1072,948,2724
Camera,1013,878,798,2689
laptop,627,1281,773,2681
keyboard,624,1049,948,2621
audio,802,1087,707,2596
iPad,645,1040,911,2596
performance,698,800,1060,2558
HDMI,535,1370,592,2497
Sony,783,1092,601,2476
iPhone,644,1144,637,2425
bluetooth,717,734,846,2297
computer,629,1114,538,2281
device,766,1053,430,2249
Battery,1121,601,518,2240
ear,636,806,776,2218
tablet,566,931,713,2210
these speakers,675,681,805,2161
Quality,662,200,1158,2020
usb,526,991,481,1998
wires,560,811,558,1929
Picture quality,542,214,1131,1887
apps,770,649,388,1807
design,473,441,829,1743
These headphones,466,163,1105,1734
no complaints,56,297,1348,1701
durability,411,670,612,1693
their products,785,328,560,1673
WiFi,730,592,324,1646
phone calls,599,497,531,1627
Good quality,107,52,1454,1613
cord,537,609,438,1584
app,619,561,403,1583
phones,277,744,512,1533
charger,398,700,399,1497
memory,358,744,385,1487
Cable,613,472,384,1469
recording,553,706,206,1465
high quality,219,113,1106,1438
cords,339,642,455,1436
screws,466,726,218,1410
Logitech,477,509,409,1395
picture quality,430,241,684,1355
No complaints,22,735,587,1344
Garmin,361,649,333,1343
better quality,323,459,530,1312
other devices,266,754,276,1296
electronics,468,480,340,1288
accessories,251,475,513,1239
laptops,239,570,424,1233
parts,561,521,143,1225
computers,333,501,382,1216
ports,268,553,382,1203
equipment,400,361,428,1189
drivers,541,477,169,1187
Great quality,25,1,1064,1090
Screen,445,395,247,1087
great quality,146,10,924,1080
hands,220,343,511,1074
connectivity,553,245,244,1042
earphones,242,348,444,1034
speaker,327,405,267,999
light weight,33,267,697,997
recordings,293,545,127,965
poor quality,929,21,10,960
wireless,284,467,208,959
hardware,296,369,273,938
all the features,128,255,547,930
Android,283,408,236,927
These cameras,502,156,265,923
multiple devices,255,353,306,914
Panasonic,334,385,178,897
charges,155,401,334,890
these batteries,343,384,159,886
technology,307,260,309,876
Lenovo,374,409,92,875
one camera,271,492,111,874
Cord,310,384,178,872
ears,323,303,245,871
App,473,221,172,866
monitor,242,356,249,847
speeds,218,391,236,845
Wi-Fi,292,418,133,843
monitors,183,477,175,835
adapter,159,456,204,819
Batteries,216,430,170,816
touch,317,328,165,810
feature,236,244,326,806
GPS,258,324,210,792
USB-C,178,370,243,791
its size,105,138,546,789
Cameras,240,315,229,784
Dell,270,361,150,781
Linksys,321,333,114,768
firmware,359,277,131,767
Charges,121,335,303,759
ear buds,274,213,270,757
shape,328,200,226,754
These speakers,222,129,399,750
Keyboard,206,336,207,749
controls,240,257,248,745
USB ports,258,268,197,723
other cameras,265,334,124,723
RAM,126,374,218,718
cloud storage,263,341,97,701
Device,245,278,144,667
any device,335,215,111,661
SD cards,77,342,232,651
Wifi,304,252,95,651
SD card,196,263,175,634
local storage,236,313,84,633
drives,150,346,127,623
fingerprints,177,302,143,622
microphone,211,208,202,621
Anker products,158,55,407,620
iphone,145,316,156,617
plugs,173,245,196,614
Audio,230,229,150,609
these earphones,155,204,247,606
Mouse,170,273,160,603
distortion,325,167,107,599
these monitors,146,327,126,599
iPod,77,307,214,598
Poor quality,595,0,0,595
these drives,170,272,140,582
Headphones,231,104,242,577
video quality,135,119,323,577
voice,203,227,147,577
adapters,69,333,165,567
all the reviews,133,241,189,563
OEM,84,325,151,560
other cables,137,258,161,556
portability,97,133,324,554
ipad,139,246,163,548
fast charging,222,144,176,542
playback,127,282,128,537
style,94,165,275,534
SSD,65,368,101,534
media,123,276,132,531
resolution,161,136,231,528
Video quality,190,35,299,524
Monitor,151,181,189,521
apple,237,164,115,516
signals,218,228,69,515
Cables,167,175,173,515
quality control,333,137,44,514
Speakers,186,191,132,509
one device,130,306,69,505
Size,59,256,188,503
good sound quality,58,27,417,502
its performance,153,69,276,498
great sound quality,76,2,414,492
Charger,252,120,113,485
iPads,158,205,121,484
these devices,226,193,64,483
Acer,144,227,110,481
maps,173,226,76,475
better sound,45,131,298,474
documentation,279,149,43,471
Great camera,68,0,399,467
Build quality,92,71,303,466
these ear buds,151,102,210,463
hdmi,140,209,114,463
no charge,90,291,79,460
image quality,153,140,163,456
Buttons,194,163,92,449
all devices,142,219,86,447
low quality,386,28,31,445
another device,118,259,66,443
Intel,157,202,84,443
more features,29,162,252,443
each camera,80,327,35,442
specs,107,227,108,442
very good quality,73,5,359,437
decent quality,84,65,284,433
hard drive,149,214,66,429
factory,181,178,68,427
compatibility,114,217,95,426
decent sound,41,72,311,424
ethernet,87,276,58,421
outlets,110,190,121,421
AirPods,100,171,150,421
Software,225,95,95,415
Speaker,194,118,101,413
components,137,154,120,411
audio quality,144,91,174,409
CD player,206,141,60,407
iPhones,108,145,153,406
Laptop,97,182,126,405
Great sound quality,36,7,362,405
our phones,99,168,136,403
their software,217,139,45,401
battery power,95,204,96,395
stereo,103,200,89,392
tools,96,181,113,390
Skype,112,190,87,389
Performance,99,58,230,387
higher quality,55,190,139,384
WIFI,192,107,83,382
volume control,131,150,100,381
blue tooth,114,146,121,381
great features,32,0,348,380
new batteries,231,124,24,379
720p,71,175,131,377
electrical tape,136,219,22,377
heavy use,83,175,119,377
all my devices,83,105,188,376
applications,91,168,117,376
hard drives,113,197,65,375
these features,112,166,96,374
HD video,52,145,176,373
MacBook Pro,96,185,92,373
Toshiba,67,210,87,364
sharpness,106,97,161,364
screen protectors,138,164,56,358
ram,128,129,94,351
Computer,125,150,72,347
Excellent quality,7,6,333,346
fingers,112,124,110,346
tech,135,130,80,345
headset,129,106,108,343
cell phone,48,201,92,341
Ethernet,81,182,76,339
menus,121,151,66,338
Bluetooth headphones,55,113,168,336
wireless headphones,67,104,165,336
other headphones,52,168,116,336
touch screen,75,143,116,334
Microphone,170,49,111,330
Phone,133,94,103,330
amp,104,113,112,329
modem,81,180,68,329
switches,57,173,97,327
Corsair,91,152,83,326
Very good quality,1,1,320,322
screens,150,112,57,319
cell phones,76,158,84,318
great headphones,59,0,258,317
TVs,54,131,131,316
Good sound quality,27,10,276,313
build quality,142,47,124,313
/>Sound,100,77,134,311
security cameras,125,147,39,311
Great monitor,10,0,301,311
very high quality,35,7,268,310
Mic,179,78,52,309
cloud cam,120,153,36,309
Tablet,90,131,86,307
other models,143,114,50,307
good shape,46,63,198,307
These batteries,157,60,85,302
Light weight,5,98,199,302
very poor quality,295,0,5,300
good battery life,22,0,277,299
different devices,94,150,54,298
rating,139,117,42,298
Part,152,101,45,298
Good camera,76,30,192,298
32GB,23,232,42,297
both devices,105,135,56,296
very light weight,11,72,213,296
Cloud Cam,72,164,60,296
long battery life,43,42,210,295
keyboards,87,127,80,294
extra batteries,41,160,91,292
her phone,48,156,88,292
home security,128,100,61,289
his phone,44,189,54,287
Cisco,129,123,35,287
PCs,61,128,95,284
USB cable,95,149,39,283
headphone,72,146,63,281
all the parts,68,99,113,280
sensors,122,113,45,280
samsung,94,142,43,279
memory cards,25,153,101,279
different sizes,28,169,80,277
electricity,89,139,49,277
USB C,35,186,56,277
these radios,44,183,49,276
AMD,91,109,75,275
projector,84,133,56,273
their devices,172,82,19,273
Design,107,43,123,273
all the buttons,72,66,134,272
hard plastic,146,93,33,272
accuracy,51,114,107,272
thickness,100,129,41,270
Arduino,12,124,134,270
Image quality,71,42,157,270
great picture quality,43,0,226,269
two devices,44,157,66,267
capabilities,76,106,85,267
wireless earbuds,27,77,162,266
cable management,65,93,106,264
Macs,101,65,97,263
one charge,92,79,92,263
great battery life,26,8,228,262
remote control,67,112,82,261
Bluetooth connection,81,83,97,261
Great headphones,33,1,226,260
excellent quality,1,7,250,258
Sturdy,0,125,133,258
full charge,60,174,24,258
surfaces,64,123,71,258
sturdiness,84,85,89,258
their reviews,156,77,24,257
USB port,64,156,37,257
bluetooth headphones,67,109,81,257
LCD,64,119,72,255
Great picture quality,14,5,236,255
MacBook,68,121,66,255
these chargers,108,65,81,254
airpods,89,54,111,254
spec,124,94,36,254
Razer,121,70,62,253
power supply,66,158,24,248
headsets,51,123,72,246
Nice quality,48,0,197,245
radios,61,104,79,244
Bluetooth connectivity,147,24,73,244
Earbuds,48,89,107,244
those features,65,109,69,243
YouTube videos,51,134,58,243
low battery,163,77,2,242
capacity,48,108,86,242
remotes,55,116,70,241
storage space,56,86,98,240
BIOS,60,126,52,238
lightweight,17,61,159,237
Cords,80,93,62,235
Controls,36,97,102,235
/>The device,42,129,63,234
all the cables,81,71,82,234
all cameras,68,123,42,233
small size,39,45,149,233
one battery,113,77,43,233
all the cameras,84,122,26,232
backpack,36,107,87,230
AA batteries,42,126,61,229
several devices,101,97,29,227
voices,38,108,80,226
much better quality,18,23,185,226
different cables,88,134,3,225
mic,65,107,53,225
wi-fi,97,73,55,225
motherboard,111,81,32,224
These ear buds,78,24,122,224
5GHz,56,146,22,224
some features,86,79,58,223
surface,54,132,37,223
CPU,40,118,64,222
clear sound,40,44,137,221
flaws,112,76,32,220
his tablet,22,87,111,220
factory settings,106,105,8,219
many features,54,50,114,218
iOS,82,116,20,218
/>The quality,63,30,124,217
its features,38,62,117,217
high speed,24,109,84,217
Sandisk,56,136,24,216
just the right size,12,11,193,216
all the positive reviews,56,20,139,215
video recording,53,129,33,215
/>Battery life,57,52,105,214
Anker cables,28,90,96,214
another charger,81,84,49,214
sony,65,124,24,213
build,43,55,115,213
High quality,8,1,203,212
their quality,92,14,105,211
its charge,71,60,80,211
quality sound,22,60,129,211
all the functions,36,67,106,209
Camera quality,81,3,125,209
16GB,25,115,68,208
Speed,52,69,86,207
surround sound,44,95,67,206
simplicity,32,45,128,205
very light use,107,73,25,205
5ghz,77,75,53,205
arm,46,113,45,204
usability,80,47,76,203
8GB,12,96,95,203
HDD,44,122,37,203
DVD player,42,108,52,202
our devices,62,71,68,201
Videos,95,80,26,201
Motorola,86,62,53,201
monitoring,72,97,31,200
better sound quality,9,60,131,200
